Startdatum,Einddatum,Hele dag?,Starttijd,Eindtijd,Terugkerend?,Titel,Omschrijving,Categoriën,Toegelaten?,Locatie,Adres,WebURL,URL omschrijving,OV,Entree,Image,Hovers,Clicks,CTR
19/08/2016,19/08/2016,Nee,17:00,23:59,Nee,Bite Club - Street Food Market,"Berlin’s original street food party is back! The sun is out, which means we are ready to bring some seriously big flavours to our beautiful Spreeside location.
★ Food trucks and stalls ★ Singleton whisky bar ★ Disco DJs ★ Berlin’s best Hummus ★ Spicy Jamaican Jerk ★ Liquid Nitrogen Ice Cream★ Egyptian Koshary ★ Hoppetosse dining boat ★ Real Thai BBQ ★ Little Joy ★ Sol Mexican Bar ★ Cookies & Cakes ★ Fresh Flowers ★ Free Entrance!",,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",,,U1 Schlesisches Tor,"0,00",,723,80,"11,07%"
19/08/2016,21/08/2016,Nee,12:00,20:00,Nee,Veganes Sommerfest am Alexanderplatz,"Elk jaar in Augustus, is er een een grote vegan zomermarkt op Alexanderplatz. Drie dagen lang kun je genieten van 90 informatie- en verkoopstandjes, die je alles vertellen over vegan producten en lifestyle. Ook staan er natuur- en dierbeschermingsorganisaties, die met hun initiatieven aandacht vragen voor hun doel. En wil je meer weten over vegan- en dierproefvrije make-up? Dan wil je zeker een kijkje nemen op deze leuke en gezellige markt. Ook voor niet-vegans!
Entree: gratis",,Ja,Alexanderplatz,"Alexanderplatz 1, Mitte",//www.veganes-sommerfest-berlin.de,veganes-sommerfest-berlin.de,S+U Alexanderplatz,"0,00",https://www.veganes-sommerfest-berlin.de/wp-content/uploads/2015/06/c1_shutterstock_117296200-1000x400.jpg,377,46,"12,20%"
20/08/2016,21/08/2016,Nee,17:00,02:00,Nee,Potsdamer Schlössernacht,"Tijdens deze speciale nacht, zijn de paleizen en het prachtige <a href=""//wattedoeninberlijn.nl/park-sanssouci-in-potsdam/"">Sanssouci park</a> in Potsdam in alle kleuren verlicht! Met theater, dansvoorstellingen, concerten en prachtige romantische verlichting, is dit een geweldig evenement dat je niet mag missen. De bezoekers flaneren door het park en langs de paleizen, theehuizen en tempeltjes en langs de geurige planten en bloemen die dan nog volop bloeien.
Goedkoop is het helaas niet: tickets kosten 46,20 en zijn <a href=""//20498.reservix.de/tickets/veranstaltung/reihe/potsdamer-schloessernacht-2016/92527"">hier verkrijgbaar</a>. Maar daarvoor krijg je wel een acht uur durend programma met heel veel entertainment. Een prachtige night out!",,Ja,"Park Sanssouci, Potsdam","Maulbeerallee, 14469 Potsdam",//www.potsdamer-schloessernacht.de,potsdamer-schloessernacht.de,"Bus 695, Potsdam Orangerie","46,20",https://www.schloessernacht-2010.de/galerie2014/images/Pavillon_mitMond_2005_SPS_GPfauder.jpg,318,44,"13,84%"
21/08/2016,21/08/2016,Nee,10:00,17:00,Nee,Japan Breakfast Market,"Er komt weer een nieuwe breakfast market aan, met dit keer een Japans thema! Japanse restaurantjes, eettentjes en winkeltjes uit heel Berlijn doen mee en je kunt genieten van een typisch Japans ontbijt. Voor veel Japanners is dat vaak gewoon een kommetje rijst, maar voor de breakfast market is het wat uitgebreider. Van Bento's en Onigiri's, tot Matcha, Takoyaki, Mochi en nog veel meer. Daarnaast kun je ook Japans kookgerei, zoals messen en bestek aanschaffen. Een prima manier om je zondag door te brengen! En voor de liefhebbers is er óók nog eens een kookcursus!

Erbij zijn: Kame Japanese Bakery, nazuna Berlin, Maru Takoyaki, Samurai Spoon, Go Bento, Nigi Berlin - onigiri, Akindo en Pan Messer.",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//markthalleneun.de/japan-breakfast-market/,markthalleneun.de,U1 Schlesisches Tor,"3,00",https://markthalleneun.de/media/CACHE/images/content/fb_breakfast_japan_2016/d548f17471cc1699ab67a64dea593bc2.jpg,224,24,"10,71%"
23/08/2016,23/08/2016,Ja,18:00,,Nee,Klassik Open Air @ Haubentaucher,"Zin in een klassiek concert op een ongewone locatie? Bezoek dan de Klassik Open Air in Haubentaucher in Friedrichshain! Een 60-koppig orkest geeft een prachtig openluchtconcert onder de open hemel, aan de rand van het zwembad. Dirigent is Andreas Schulz. - Bij slecht weer wordt het concert verplaatst naar de woensdag.",,Ja,Haubentaucher op het RAW Gelände,"Revaler Strasse 99, Friedrichshain",//haubentaucher.berlin/events/klassik-open-air/,Haubentaucher.berlin (check hier voor ticketverkoop),S+U Warschauer Strasse,"12,00",https://haubentaucher.berlin/wp-content/uploads/2016/03/DSC_6594.jpg,96,22,"22,92%"
26/08/2016,28/08/2016,Ja,14:00,,Nee,East Side Music Days,"De East Side Music Days is het eerste gratis straatmuziekfestival avn Berlijn. Muzikanten van alle genres en van over de hele wereld komen hier hun muziek spelen, gratis en voor niets. Verdeeld over drie dagen, is het rondom de East Side Gallery (tot aan de Oberbaumbrücke) een gezellige boel. In 2015 kwamen er in totaal meer dan 40.000 mensen op af. Meer dan 100 muzikanten spelen dit jaar ook weer op straat, langs de muur en op de mainstage bij de Spree. Overigens zijn het niet zómaar muzikanten, maar hebben ze allemaal een auditie doorgelopen om te mogen spelen op het festival. Dat belooft dus een hele toffe sfeer!",,Ja,East Side Gallery,"Mühlenstraße, 10243 Berlin Friedrichshain",//eastsidemusicdays.com,eastsidemusicdays.com,S Ostbahnhof,"0,00",https://eastsidemusicdays.com/files/media/Galleries/2015/ESMD_CharityChildren.jpg,278,50,"17,99%"
27/08/2016,28/08/2016,Nee,18:00,02:00,Nee,36e Lange Nacht der Museen,"Altijd al 's nachts door Berlijns mooiste musea willen wandelen? Koop dan een ticket voor de Lange Nacht der Museen! Van 18:00 tot 02:00 uur 's nachts kun je meer dan honderd Berlijnse musea, installaties, galeries en tentoonstellingen bezoeken. Ook zijn er lezingen, concerten en theaterstukken, waardoor het één groot cultureel feest is! Met je passpartout kun je alle deelnemende musea bezoeken en op de website kun je zelfs een route uitstippelen!
Tickets zijn te koop via de website, als je voor 16 Augustus een ticket koopt betaal je €12, daarna €18. Kinderen tot 12 jaar zijn gratis.",,Ja,Deelnemende musea in heel Berlijn,"
",//www.lange-nacht-der-museen.de/de/,lange-nacht-der-museen.de,,"18,00",https://www.lange-nacht-der-museen.de/media/_cache/sh-dachterrasse_bertelsmann.jpg_cms_image.jpg,338,56,"16,57%"
28/08/2016,28/08/2016,Nee,14:00,20:00,Nee,Rockabilly und Punk Flohmarkt - Summer Bash 2016,"Leuke markt met zowel nieuwe als tweedehands kleding, accessoires, lifestyle, sierraden en nog veel meer. En alles in rockabilly en punk stijl!",,Ja,Wild at Heart,"Wiener strasse 20, Kreuzberg",//www.facebook.com/events/1090478514331469/,Facebook event,U1 Görlitzer Bahnhof,"0,00",,256,34,"13,28%"
02/09/2016,04/09/2016,Nee,10:00,17:00,Nee,Berlin Coffee Festival,"Uitgebreid koffiedrinken en daarbij lekkers eten, kan zondag 4 september de hele dag in Markthalle Neun. De beste baristas van de stad zijn aanwezig om heerlijke koffie voor je neus te zetten. Ook kun je vanalles leren over koffie zetten, drinken, roosteren, malen en nog veel meer. Een must voor koffieliefhebbers! Meer leren over koffie of bij meer events rondom dit koffiefestival aanwezig zijn? Check de website!",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//www.berlincoffeefestival.de,berlincoffeefestival.de,U1 Schlesisches Tor,"3,00",https://www.berlincoffeefestival.de/wp-content/uploads/2016/06/bcf-2106-temp.jpg,467,39,"8,35%"
09/09/2016,09/09/2016,Nee,17:00,23:59,Nee,Bite Club - Street Food Market,"Berlin’s original street food party is back! The sun is out, which means we are ready to bring some seriously big flavours to our beautiful Spreeside location. ★ Food trucks and stalls ★ Singleton whisky bar ★ Disco DJs ★ Berlin’s best Hummus ★ Spicy Jamaican Jerk ★ Liquid Nitrogen Ice Cream★ Egyptian Koshary ★ Hoppetosse dining boat ★ Real Thai BBQ ★ Little Joy ★ Sol Mexican Bar ★ Cookies & Cakes ★ Fresh Flowers ★ Free Entrance!",,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",,,U1 Schlesisches Tor,"0,00",,723,80,"11,07%"
09/09/2016,10/09/2016,Nee,18:30,23:00,Nee,Pyronale Berlin,"De Pyronale is een groot vuurwerkfestival, dat jaarlijks bij het Olympiastadion plaats heeft. Op een mooie Septemberavond doen wereldberoemde pyrotechnici mee in teams, om de mooiste show neer te zetten. Een waar spektakel! Tickets zijn verkrijgbaar via de website, voor staan- of zitplaatsen.",,Ja,Olympiastadion,"Olympischer Platz 3, 14053 Berlin",//www.pyronale.de,pyronale.de,S Olympiastadion ,"25,00",https://scontent-vie1-1.xx.fbcdn.net/t31.0-8/10608710_721113257943009_2467578547245864517_o.jpg,233,26,"11,16%"
09/09/2016,10/09/2016,Nee,18:00,23:59,Nee,Pankower Feuerwehrtage,"Gek op de brandweer en brandweerwagens? Kom dan kijken bij de Pankower Feuerwehrtage, want ze houden open dag! Leuk voor brandweergekken en kleine kinderen. De wagens staan buiten voor iedereen te bekijken, er zijn spelletjes, lekker eten en 's avonds eindigt de dag met vuurwerk. Op vrijdag vanaf 18.00 uur, op de zaterdag vanaf 09.00 uur!",,Ja,FF Pankow,"Stiftsweg 1a, Pankow",//www.facebook.com/events/318594411811872/,Facebook event,S+U Pankow,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/11692725_998235550206987_6304603663756734666_n.jpg?oh=ad7e17cf645852e3953f83788ea4fda9&oe=581229BB,191,11,"5,76%"
10/09/2016,11/09/2016,Nee,11:00,22:00,Nee,2 Tage Wedding - Kulturfestival,"Voor de eerste keer vindt er een leuk en gezellig kunstfestival in Wedding plaats. Lokale kunst, kunsthuizen en galeries, verenigingen, gastronomen en nog veel meer organisaties uit Wedding komen samen en organiseren het 'Zwei Tage Wedding Kulturfestival'. Het idee achter het festival is om de wijken en buurten beter te leren kennen, voor meer samenhang te zorgen en bovendien te genieten van de mooie en heerlijke dingen die de creatieve scene in Wedding te bieden heeft. Het festival vindt plaats in het 'Afrikanische viertel, de Antonkiez, Brüsseler Kiez, Englishes Viertel, Leopoldkiez, Soldiner Kiez en de Sprengelkiez. Er is een uitgebreid programma dat alle facetten van kunst en cultuur omvat. Denk aan tentoonstellingen, open deur bij ateliers, concerten, performance art, work shops, lezingen, theater en nog veel meer. Voor enkele optredens wordt een entree gevraagd, maar het merendeel is gratis.",,Ja,Meerdere locaties in de wijk Wedding,,//www.facebook.com/events/1066840033373757/,Facebook event,,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/t31.0-8/13198561_771633089604903_5557147122019214620_o.jpg,216,19,"8,80%"
10/09/2016,11/09/2016,Nee,11:00,23:00,Nee,Lollapalooza Music Festival,"Zin in een groot, zomers en feestelijk festival? Bezoek dan Lollapalooza in het Treptower Park! Met onder andere op de zaterdag: Kings of Leon, Paul Kalkbrenner, Philipp Poisel, New Order, Dimitri Vegas & Like Mike, Jess Glynne en Catfish And The Bottlemen. En op de zondag staan Radiohead, Major Lazer, James Blake, Martin Solveig en Alle Farben voor je klaar. Er zijn nog kaarten verkrijgbaar voor het gehele festival (twee dagen) of voor zaterdag overdag.",,Ja,Treptower Park,"Treptower Park, Berlin Treptow",//www.lollapaloozade.com,Lollapaloozade.com,S Treptower Park,"79,00",https://lolp1.de.c3cdn.com/wp/wp-content/uploads/2014/09/LOL2014-DE-logo-350x100-Header.png,203,22,"10,84%"
10/09/2016,11/09/2016,Nee,09:00,19:00,Nee,Tag des offenen Denkmals,"Elk jaar gaan de normaal gesloten deuren bij veel monumenten weer open! Normaliter kom je niet in de projectorruimte van het Kino International, of in een oude brouwerij, maar met Tag des offenen Denkmals wel. Superleuk, want zo kun je veel meer zien van Berlijn dan normaal! Er zijn veel rondleidingen  en tours, velen kun je van te voren boeken, maar bij een boel kun je ook aan komen lopen en gewoon meegaan. Bekijk de website voor een duidelijk overzicht van alle toffe open monumenten, of download de handige app 'Denkmal'. Vorig jaar bezocht ik het <a href=""//wattedoeninberlijn.nl/kino-international/"">Kino International</a> en de <a href=""//wattedoeninberlijn.nl/stasigevangenis-berlijn/"">Stasigevangenis</a> in Hohenschönhausen.",,Ja,Monumenten door heel Berlijn,,//tag-des-offenen-denkmals.de/programm/,tag-des-offenen-denkmals.de,,"0,00",https://tag-des-offenen-denkmals.de/material/2016-denkmaltag-fb.jpg,189,21,"11,11%"
11/09/2016,11/09/2016,Nee,11:00,19:00,Nee,Weddingmarkt - Laatste van dit seizoen!,"Met zestig standjes met kunst, design en andere handgemaakte dingen, vijf lekkere foodstands, bandjes en een prachtige oever in Berlijn, is de Weddingmarkt een van de leukste markten van Berlijn. Het is alweer de laatste editie van dit jaar, dus mis het niet!",,Ja,Nordufer,"Pekinger Platz, Wedding",//www.facebook.com/events/1141455125917064/,Facebook event,U9 Anrumer Strasse,"0,00",,172,22,"12,79%"
13/09/2016,18/09/2016,Nee,12:00,19:00,Nee,Berlin Art Week 2016,"Voor de vijfde keer vindt de Berlin Art Week in de stad plaats, een groot en gezellige event rondom moderne kunst en cultuur in Berlijn. Met tentoonstellingen, beurzen, kunstprijzen, panels, films en tours heeft het programma enorm veel te bieden. Galeries door de hele stad houden open huis, organiseren borrels en laten op een laagdrempelige manier zien wat ze in huis hebben. Dit jaar wordt voor het eerst moderne dans toegevoegd. Het programma en meer informatie is te vinden op de website. Voor een impressie van de Berlin Art Week van 2015, kun je deze blog lezen: <a href=""//wattedoeninberlijn.nl/berlin-art-week/"">Berlin Art Week 2015.</a>",,Ja,Galeries en kunsthuizen door de hele stad,,//www.berlinartweek.de,berlinartweek.de,,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13906805_823148097786672_91472177095344252_n.jpg?oh=18152fc3c1ef3aa599e42b26b00bb46d&oe=582DF0DC,201,10,"4,98%"
15/09/2016,18/09/2016,Nee,13:00,20:00,Nee,POSITIONS BERLIN Art Fair 2016,"POSITIONS BERLIN Art Fair 2016 - Art Fair for Contemporary and Modern Art. Deze jaarlijks terugkerende kunstbeurs is de moeite waard als je nieuw en bijzonder werk wil zien. De vernissage is op donderdag 15-9 en begint om 18 uur. Vr en Za is de Art Fair geopend van 13 - 20 uur, op zondag van 11 tot 18 uur.",,Ja,Postbahnhof am Ostbahnhof,"Straße der Pariser Kommune 8, Friedrichshain",//www.facebook.com/events/128398280918765/,Facebook event,S Ostbahnhof,"12,00",https://scontent.ftxl1-1.fna.fbcdn.net/t31.0-8/13483140_1006580346124383_4652487157554385433_o.jpg,253,8,"3,16%"
15/09/2016,18/09/2016,Nee,12:00,19:00,Nee,abc Art Berlin Contemporary - Art Fair,"In Station Berlin is ook een grote kunst beurs, waar je allerlei verschillende kunst en kunstvormen kunt bekijken, van beeldende kunst tot video kunst, van performance art tot 3D art. Er is een leuke foodmarkt bij, waar je direct een heerlijk hapje kunt eten. Check voor meer informatie en openingstijden de website! Voor een impressie van de ABC Art Fair van 2015, kun je deze blog lezen: <a href=""//wattedoeninberlijn.nl/berlin-art-week/"">Berlin Art Week 2015.</a> Vernissage is op Donderdag 15-9, van 16 tot 20 uur. Daarna kun je er op vrijdag en zaterdag terecht van 12 tot 19 uur, op zondag van 12 tot 18 uur.",,Ja,STATION Berlin,"Luckenwalder Strasse 4-6, Kreuzberg",//www.artberlincontemporary.com,artberlincontemporary.com,U Gleisdreieck,"20,00",https://www.artberlincontemporary.com/wp-content/uploads/2016/07/abc_artberlincontemporary_2015_cMarcoFunke.jpg,218,10,"4,59%"
17/09/2016,18/09/2016,Nee,13:00,21:00,Nee,Disco Flohmarkt,"Een gezellige fusion tussen een nachtclub en een vlooienmarkt. Op drie verschillende verdiepingen kun je lekker shoppen, terwijl de Berlijnse beats je om de oren vliegen. Van stands met nieuwe kleding, tweedehands spulletje, kleine en grote schatten, oud en nieuw. Er is kunst, er is natuurlijk street food en er zijn lekkere drankjes. Een must!",,Ja,E-4 Club Berlin,"Eichhornstraße 4, Kreuzberg",//www.facebook.com/events/1785864471642076/,Facebook event,S+U Potsdamer Platz,"3,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13882134_1789769881245062_4802115815048150753_n.jpg?oh=118f5814368e3fa9e943e8f70ad4e8f8&oe=58432FFD,313,26,"8,31%"
17/09/2016,18/09/2016,Nee,12:00,20:00,Nee,The Green Market Berlin - Autumn Edition 2016,"De markten van The Green market zijn inmiddels een groot succes in Berlijn, en niet onterecht! Op deze gezellige markten draait het niet alleen om overheerlijk vegan eten, maar ook om andere fijne en vooral eerlijke lifestyleproducten. Er is muziek, theater en je kunt je er gerust een hele middag vermaken! Bij deze nieuwe herfsteditie staan ze weer in de voormalige Kindl brouwerij in Neukölln, een fijne en creatieve omgeving!",,Ja,Agora Rollberg,"Am Sudhaus 2, 12053 Berlin-Neukölln",//greenmarketberlin.com,greenmarketberlin.com,U7 Rathaus Neukölln,"2,00",https://scontent-vie1-1.xx.fbcdn.net/t31.0-8/13909369_796302503838948_7189451588259660605_o.jpg,261,27,"10,34%"
17/09/2016,17/09/2016,Nee,15:00,19:00,Nee,500px Red Bull Photography Global Photo Walk // Berlin,"Doe mee met alweer de vierde jaarlijkse 500px Red Bull Photography Global Photo Walk op zaterdag 17 September 2016! Ontdek Berlijn met medefotografen en deel je tips, tricks en maak een paar prachtige foto's. Iedereen mag meedoen, of je nou alleen een mobiele telefoon hebt met camera, een handcameraatje of een spiegelreflex. Het thema is 'Action and Adventure', waarbij de nadruk ligt op het fotografern van de energie en beweging in het dagelijks leven van een drukke stad als Berlijn. De walk is gratis; aanmelden doe je via <a href=""//www.eventbrite.com/e/500px-red-bull-photography-global-photo-walk-berlin-tickets-26928551021"">eventbrite!</a>. Meeting point en locatie wordt later bekend gemaakt aan de geregistreerde deelnemers.",,Ja,-,"Maxstraße 2, 13347 Berlin",//www.facebook.com/events/1712237759036557/,Facebook event,-,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13876190_10153620307261150_6484328764985553096_n.png?oh=826179e523606ca167924f443927d927&oe=584B0EF0,181,14,"7,73%"
22/09/2016,25/09/2016,Ja,,,Nee,72 Hours True Italian Food,"In plaats van een hele foodweek, kun je in het weekend van 22 tot en met 25 september meedoen aan een foodfest van 72 uur! Het draait helemaal om de ware italiaanse keuken en er doen allerlei geweldige restaurants mee. Stippel je eigen tour uit bij je favoriete Italiaanse restaurants, en bestel bij elk restaurant waar je binnenkomt de 'True Italian Specialty' voor 6 euro. Dit zijn relatief kleine gerechtjes, inclusief een glas wijn, bedoeld om te proeven. Ook doen er ijssalons mee, waar je een ijsje en een cocktail krijgt. Wat denk je van een zalm carpaccio, huisgemaakte gnocci, linguine alla genovese, caponata, melanzane parmagiana en nog veel meer lekkere dingen! Mijn favoriete restaurants en ijssalons staan er ook bij, zoals Cuore dit Vetro, Vino e Basilico, Centropassi en trattoria Muntagnola. Check voor meer informatie de website. Een grotere versie van de kaart met deelnemende restaurants kun je <a href""=//2j1afm1qkoipq3uoysng6t2cg.wpengine.netdna-cdn.com/wp-content/uploads/sites/3/2016/09/mappa-finale.pdf"">hier</a> vinden.",,Ja,Door heel Berlijn,,//berlinocacioepepemagazine.com/72hrs-true-italian-food-the-longest-happy-hour-of-the-best-italian-food-berlin/,berlinocaciopepemagazine.com,,"0,00",https://2j1afm1qkoipq3uoysng6t2cg.wpengine.netdna-cdn.com/wp-content/uploads/sites/3/2016/09/mappa-finale.pdf,93,11,"11,83%"
23/09/2016,16/10/2016,Nee,12:00,22:00,Nee,Oktoberfest 2016,"Het jaarlijks terugkerende Oktoberfest is natuurlijk écht iets uit Beieren, maar ook in Berlijn wordt het tegenwoordig gevierd. Met een groot feest op de Berliner Zentraler Festplatz in Reinickendorf, kan iedere liefhebber van worst, bier en Beiers feest hier zijn hart ophalen! Er is een soort kermis, er zijn grote tenten waar je uitgebreid bier kunt drinken op Beierse muziek, je kunt er natuurlijk héél veel eten en al met al genieten van een gezellige dag. Elke woensdag is het gezinsdag, dan zijn de prijzen gehalveerd. Kijk op de website voor de juiste openingstijden, die verschillen per dag! Maandag en dinsdags gesloten.",,Ja,Zentraler Festplatz Berlin,"Kurt-Schumacher-Damm 207, Reinickendorf",//www.berliner-oktoberfest.de/oktoberfest-berlin.html,berliner-oktoberfest.de,U6 Kurt Schumacher Damm,"0,00",https://www.berliner-oktoberfest.de/pic-schaustellerverband/602-berliner-oktoberfest.jpg,736,107,"14,54%"
23/09/2016,24/09/2016,Nee,22:00,12:00,Nee,Knutschen - Summer closing bij Birgit & Bier,"De zomer loopt op haar eind en dus sluiten een hoop biergartens hun deuren weer voor dit seizoen. Zo ook Birgit & Bier! Doe mee met hun heerlijke afscheidsparty, eind september en dans de laatste restjes van de zomer weg, tot vroeg in de ochtend. Line up: DJ Hell [international deejay gigolo], DeKai (OFFICIAL) [Ragnarøk], Steve Nash Music [Kling Klong], Jama [Bar25], Bonnie Ford [Rummel] en nog vele anderen. Tickets hier verkrijgbaar: <a href=""//www.residentadvisor.net/event.aspx?870539"">Resident advisor</a>.",,Ja,Birgit & Bier Biergarten,"Schleusenufer 3, Treptow",//www.facebook.com/events/1812542655633452/,Facebook event,U1 Schlesisches Tor,"6,00",https://scontent.ftxl1-1.fna.fbcdn.net/t31.0-8/14054538_1127628040608883_8265318549540500635_o.jpg,230,21,"9,13%"
24/09/2016,24/09/2016,Nee,14:00,23:00,Nee,Nachtflohmarkt Arena Berlin,"In het mooie Glashaus in Arena is er eind September weer een leuke 'Nachtflohmarkt' te vinden. Dat wil zeggen dat je heerlijk kunt sneupen tussen allerlei vintage koopjes en hebbedingetjes, terwijl het buiten al gezellig donker aan het worden is. Als altijd heerst er een leuke en gezellige sfeer en kun je er vanalles krijgen, voornamelijk vintage kleding, accessoires, schoenen en veel souvenirs. Ook voor platen en sierraden kun je hier goed terecht!",,Ja,Glasshaus Arena Berlin,"Eichenstrasse 4, Treptow",//www.facebook.com/events/847496855366558/,Facebook event,U1 Schlesisches Tor,"1,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13925157_1779646222317540_482689878974042309_n.jpg?oh=14b11aee12c38d181a49fc64a5f6f1c6&oe=585B57D6,212,19,"8,96%"
25/09/2016,25/09/2016,Nee,09:15,12:00,Nee,43e BMW Marathon van Berlijn,"Zoals elk jaar, trapt de herfst af met een van de mooiste loopevents ter wereld: de Berlijnse marathon! De 42,195 kilometer lopen langs een prachtige route door het hele centrum van Berlijn en is daarmee een van de grootste evenementen van het jaar. Als je niet meedoet kun je langs de route de lopers aanmoedigen en genieten van de gave en gezellige sfeer in de stad! Een kaartje van de route is <a href=""//www.bmw-berlin-marathon.com/files/events/berlin-marathon/assets/img/bm-16-strecke.jpg"">hier</a> te bekijken.",,Ja,Start bij de Brandenburger Tor,,//www.bmw-berlin-marathon.com,bmw-berlin-marathon.com,S Brandenburger Tor,"0,00",https://www.bmw-berlin-marathon.com/files/events/berlin-marathon/assets/img/bm-16-strecke.jpg,249,25,"10,04%"
25/09/2016,25/09/2016,Nee,12:00,19:00,Nee,Designer Messe Berlin,"Hou je van design, fashion en lifestyle? Dan is deze beurs echt iets voor jou! Hier is alles rondom het thema Home & Living, Fashion & Lifestyle, Tassen & Accessoires, Food & Travel, Baby & Kind, Wohnen & Vintage en nog veel meer te krijgen.",,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",//www.facebook.com/events/1707618766164238/,Facebook event,U1 Schlesisches Tor,"6,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13895544_1761536007449504_3653106095885205159_n.jpg?oh=63acef2e17313acf0f79fcfbc15e88c0&oe=5874EAD0,155,13,"8,39%"
30/09/2016,02/10/2016,Ja,16:00,20:00,Nee,Handgemacht - Markt in de Kulturbrauerei,"Drie dagen lang staan street food verkopers, handwerklui, brouwers en andere ambachtlieden in de Kulturbrauerei hun waren te verkopen. Alles wat je hier tegenkomt is met liefde en met de hand gemaakt. Het hoofdthema is eten, maar er staan ook brouwers die hun eigen craft beers aan de man brengen. In totaal doen er meer dan 50 verkopers uit binnen- en buitenland mee. Daarbij is er live muziek, zijn er tastings en nog veel meer leuke optredens!",,Ja,Kulturbrauerei,"Schönhauser Allee 36, Prenzlauer Berg",//www.facebook.com/events/1133013130126847/,Facebook event,U2 Eberswalder Strasse,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13754085_738736542936258_8052397284141352551_n.jpg?oh=13e7e046bf3ea7462731f2052757963a&oe=5811D4E5,811,37,"4,56%"
30/09/2016,16/10/2016,Nee,19:00,23:00,Nee,Berlin leuchtet 2016,"Berlin leuchtet zet Berlijn in kleurrijk licht! Jaarlijks keert dit prachtige lichtfestival weer terug en worden beroemde Berlijnse bezienswaardigheden kleurrijk verlicht. Het festival is de concurrent van het Festival of Lights, dat ietwat commercieler is ingesteld. Samen zorgen ze er echter voor dat een avondwandeling door Berlijn een geheel nieuwe betekenis krijgt!<br/><br/>Meer weten? <a href=""//wattedoeninberlijn.nl/festival-of-lights-berlijn/"">Lees dan mijn blog hier over</a> of <a href=""//wattedoeninberlijn.nl/festival-of-lights-berlijn/"">meldt je aan</a> voor een tour!",,Ja,"Verschillende venues door de hele stad, zie website",,//berlin-leuchtet.com,berlin-leuchtet.com,S+U Alexanderplatz,"0,00",https://scontent.xx.fbcdn.net/v/t1.0-9/12143138_971697579536187_2180425388542443609_n.jpg?oh=7f444391008a45dfaec61bd8de1aaf61&oe=58263550,788,62,"7,87%"
01/10/2016,01/10/2016,Nee,15:00,23:59,Nee,Burgers & Hiphop - Bacon Paradise,"Als je van burgers houdt, is dit je favoriete event! Dit keer draait de nieuwe editie van Burgers & Hiphop helemaal om bacon en maken Berlijns beste burgerflippers een hele nieuwe burger met bacon. Aan jou de eer om te proeven en voor de beste burger te stemmen! Deelnemende burgerbars worden later bekend gemaakt. Entree voor 21 u: 2 euro, na 21 uur: 10 euro.",,Ja,Prince Charles,"Prinzenstraße 85F, Kreuzberg",//www.facebook.com/events/180396152384465/,Facebook event,U8 Moritzplatz,"2,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/14222273_1172567222817197_8332386333804733409_n.jpg?oh=61a836ea0903edf97562f60a636d384a&oe=5844258B,490,23,"4,69%"
01/10/2016,02/10/2016,Nee,12:00,20:00,Nee,Berlin Pedal Battle - Riddertoernooi,"Maak je borst maar nat voor een riddertoernooi met knipoog in Berlijn Rummelsburg. Van steekspel en ringsteken tot een mélé, schijngevechten en tweegevechten. Echter worden paarden vervangen door fietsen en draait het toernooi om humor. Er is natuurlijk muziek, een grill en genoeg te drinken. Voor de kleintjes is er een knutselhoek, kunnen ze zaklopen en is er een heuse smid uitgenodigd.",,Ja,Altes Kraftwerk Rummelsburg,"Rummelsburger Landstraße 2-12, 12459 Berlin",//www.xn--brlinpedlbttle-5hbhc.de/,Berlinpedalbattle.de,Tram 21 - Köpenicker Chaussee/Blockdammweg,"0,00",https://www.xn--brlinpedlbttle-5hbhc.de/wp-content/gallery/baettle2015-jens/Baettle-2015_all-44.JPG,486,20,"4,12%"
